woning;bouwjaarklasse;Elabel;besparing
rijwoning tussen;2031 - 2040;G;0
rijwoning tussen;2031 - 2040;N;0
rijwoning tussen;2041 - 2050;A;1
rijwoning tussen;2041 - 2050;B;0
rijwoning tussen;2041 - 2050;C;0
rijwoning tussen;2041 - 2050;D;0
rijwoning tussen;2041 - 2050;E;0
rijwoning tussen;2041 - 2050;F;0
rijwoning tussen;2041 - 2050;G;0
rijwoning tussen;2041 - 2050;N;0
meergezins: laag en midden;voor 1930;A;1
meergezins: laag en midden;voor 1930;B;1.109557971
meergezins: laag en midden;voor 1930;C;1.179072151
meergezins: laag en midden;voor 1930;D;1.278260206
meergezins: laag en midden;voor 1930;E;1.361644621
meergezins: laag en midden;voor 1930;F;1.412567952
meergezins: laag en midden;voor 1930;G;1.386631596
meergezins: laag en midden;voor 1930;N;1.469245485
meergezins: laag en midden;1930 - 1945;A;1
meergezins: laag en midden;1930 - 1945;B;1.075870569
meergezins: laag en midden;1930 - 1945;C;1.157669677
meergezins: laag en midden;1930 - 1945;D;1.241730969
meergezins: laag en midden;1930 - 1945;E;1.337164902
meergezins: laag en midden;1930 - 1945;F;1.360564896
meergezins: laag en midden;1930 - 1945;G;1.33214116
meergezins: laag en midden;1930 - 1945;N;1.421456702
meergezins: laag en midden;1946 - 1964;A;1
meergezins: laag en midden;1946 - 1964;B;1.10956204
meergezins: laag en midden;1946 - 1964;C;1.215955665
meergezins: laag en midden;1946 - 1964;D;1.340886874
meergezins: laag en midden;1946 - 1964;E;1.377405661
meergezins: laag en midden;1946 - 1964;F;1.430417355
meergezins: laag en midden;1946 - 1964;G;1.414377857
meergezins: laag en midden;1946 - 1964;N;1.433324655
meergezins: laag en midden;1965 - 1974;A;1
meergezins: laag en midden;1965 - 1974;B;1.111336341
meergezins: laag en midden;1965 - 1974;C;1.204430799
meergezins: laag en midden;1965 - 1974;D;1.294750063
meergezins: laag en midden;1965 - 1974;E;1.451680942
meergezins: laag en midden;1965 - 1974;F;1.448675138
meergezins: laag en midden;1965 - 1974;G;1.328818752
