'BU_CODE';'V01_Strategievariant'
'BU01060803';'s1b'
'BU01060804';'s1b'
'BU01060805';'s1b'
'BU01060806';'s1b'
'BU01060807';'s1b'
'BU01060808';'s1b'
'BU01060809';'s1b'
'BU01060810';'s1b'
'BU01060811';'s1b'
'BU01060812';'s1b'
'BU01060813';'s1b'
'BU01060815';'s1b'
'BU01060816';'s1b'
'BU01060817';'s1b'
'BU01060899';'s1b'
'BU01069900';'s1b'
'BU01069901';'s1b'
'BU01069902';'s1b'
'BU01069903';'s1b'
'BU01069904';'s1b'
'BU01069905';'s1b'
'BU01069906';'s1b'
'BU01069907';'s1b'
'BU01069908';'s1b'
'BU01069909';'s1b'
'BU01069910';'s1b'
'BU01069911';'s1b'
'BU01069912';'s1b'
'BU01069913';'s1b'
'BU01069914';'s1b'
'BU01069915';'s1b'
'BU01069916';'s1b'
'BU01069917';'s1b'
'BU01069918';'s1b'
'BU01091000';'s1b'
'BU01091001';'s1b'
'BU01091002';'s1b'
'BU01091003';'s1b'
'BU01091004';'s1b'
'BU01091006';'s1b'
'BU01091007';'s1b'
'BU01091008';'s1b'
'BU01091009';'s1b'
'BU01091010';'s1b'
'BU01091011';'s1b'
'BU01091012';'s1b'
'BU01091013';'s1b'
'BU01091014';'s1b'
'BU01091015';'s1b'
'BU01091116';'s1b'
'BU01091117';'s1b'
'BU01091218';'s1b'
'BU01091219';'s1b'
'BU01091320';'s1b'
'BU01091421';'s1b'
'BU01092022';'s1b'
'BU01092023';'s1b'
'BU01092024';'s1b'
'BU01092025';'s1b'
'BU01092026';'s1b'
'BU01092027';'s1b'
'BU01092028';'s1b'
'BU01092029';'s1b'
'BU01092030';'s1b'
'BU01092031';'s1b'
'BU01093032';'s1b'
'BU01093033';'s1b'
'BU01093034';'s1b'
'BU01093035';'s1b'
'BU01093036';'s1b'
'BU01093037';'s1b'
'BU01093038';'s1b'
