"type_str"	"bouwjaar_str"	"eigendom_str"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"	"freq_label_A"	"freq_label_B"	"freq_label_C"	"freq_label_D"	"freq_label_E"	"freq_label_F"	"freq_label_G"
"2 onder 1 kap"	"1930 - 1945"	"wooncorp"	28.5339951368	0.1346723815	33.6270574023	0.0777833018	35.7015140695	0.0777833018	31.5811136939	0.0777833018	28.7826375139	0.0777833018	27.2718640259	0.0777833018	27.6518888697	0.0777833018	20.9342132895	0.0777833018	0	0.0078	7.5	0	9.9	0	0	0.01296	0.035	0.049	0.198	0.302	0.241	0.175	0.000
"2 onder 1 kap"	"1946 - 1964"	"koop"	28.525642412	0.1464737509	16.2320037816	0.2238034049	17.088469333	0.2238034049	20.1078859767	0.2238034049	15.8155053918	0.2238034049	16.4749928537	0.2238034049	16.4749928537	0.2238034049	16.4749928537	0.2238034049	0	0.0095	7.5	0	9.9	0	0	0.01296	0.501	0.392	0.097	0.011	0.000	0.000	0.000
"2 onder 1 kap"	"1946 - 1964"	"parthuur"	30.3170489304	0.1558773225	35.2559123224	0.1129747655	36.197320305	0.1129747655	32.0839081166	0.1129747655	32.0839081166	0.1129747655	32.0839081166	0.1129747655	32.0839081166	0.1129747655	32.0839081166	0.1129747655	0	0.0095	7.5	0	9.9	0	0	0.01296	0.501	0.392	0.097	0.011	0.000	0.000	0.000
"2 onder 1 kap"	"1946 - 1964"	"wooncorp"	28.5307848195	0.1062206764	31.5736556876	0.1132014244	31.9027952354	0.1132014244	28.8375551546	0.1132014244	24.9611426899	0.1132014244	21.9556445158	0.1132014244	21.6163565019	0.1132014244	18.350499733	0.1132014244	0	0.0095	7.5	0	9.9	0	0	0.01296	0.501	0.392	0.097	0.011	0.000	0.000	0.000
"2 onder 1 kap"	"1965 - 1974"	"koop"	23.4368708438	0.1808950114	28.633692116	0.16687051	28.633692116	0.16687051	28.633692116	0.16687051	21.5511812664	0.16687051	18.7219101359	0.16687051	18.7219101359	0.16687051	18.7219101359	0.16687051	0	0.0106	8.2	0	9.77	0	0	0.01296	0.501	0.392	0.097	0.011	0.000	0.000	0.000
"2 onder 1 kap"	"1965 - 1974"	"parthuur"	32.8053980186	0.1398471629	22.5641359353	0.1881794023	22.5641359353	0.1881794023	22.5641359353	0.1881794023	22.5641359353	0.1881794023	16.8969059722	0.1881794023	16.8969059722	0.1881794023	16.8969059722	0.1881794023	0	0.0106	8.2	0	9.77	0	0	0.01296	0.501	0.392	0.097	0.011	0.000	0.000	0.000
"2 onder 1 kap"	"1965 - 1974"	"wooncorp"	18.1923373651	0.1610153934	30.5844138071	0.1329879848	29.6178418479	0.1329879848	26.9983999828	0.1329879848	24.8947995324	0.1329879848	20.6309026921	0.1329879848	18.4926587242	0.1329879848	17.7334557106	0.1329879848	0	0.0106	8.2	0	9.77	0	0	0.01296	0.501	0.392	0.097	0.011	0.000	0.000	0.000
"2 onder 1 kap"	"1975 - 1991"	"koop"	16.8955341838	0.1900239772	7.410715751	0.2648400768	7.410715751	0.2648400768	7.410715751	0.2648400768	7.410715751	0.2648400768	7.410715751	0.2648400768	4.8441062553	0.2648400768	4.8441062553	0.2648400768	0	0.0072	8.2	0	9.77	0	0	0.01296	0.024	0.024	0.527	0.385	0.040	0.000	0.000
"2 onder 1 kap"	"1975 - 1991"	"parthuur"	23.9472162644	0.1585638573	22.5585009088	0.1649799191	22.5585009088	0.1649799191	22.5585009088	0.1649799191	22.5585009088	0.1649799191	22.5585009088	0.1649799191	13.6716500244	0.1649799191	13.6716500244	0.1649799191	0	0.0072	8.2	0	9.77	0	0	0.01296	0.024	0.024	0.527	0.385	0.040	0.000	0.000
"2 onder 1 kap"	"1975 - 1991"	"wooncorp"	16.4837851816	0.1624489813	30.3432630342	0.1378315797	30.3432630342	0.1378315797	30.3432630342	0.1378315797	26.4413168782	0.1378315797	22.4968618239	0.1378315797	18.7761118731	0.1378315797	15.4924350701	0.1378315797	0	0.0072	8.2	0	9.77	0	0	0.01296	0.024	0.024	0.527	0.385	0.040	0.000	0.000
