gem2020,wijk2020,W,E,Verschilfactor totaal
GM0059,WK005902,4,1,1.0808
GM0059,WK005902,4,2,1.2294
GM0059,WK005902,5,0,1.0616
GM0059,WK005902,5,1,1.0244
GM0059,WK005902,5,2,1.1507
GM0059,WK005902,6,0,0.9901
GM0060,WK006000,1,0,1.0948
GM0060,WK006000,1,1,1.0812
GM0060,WK006000,2,0,1.1113
GM0060,WK006000,2,1,0.9384
GM0060,WK006000,3,0,1.0626
GM0060,WK006000,3,1,1.0626
GM0060,WK006000,4,0,1.0626
GM0060,WK006000,4,1,1.0626
GM0060,WK006000,5,0,1.2773
GM0060,WK006000,5,1,1.5161
GM0072,WK007200,1,0,0.7959
GM0072,WK007200,1,1,0.8703
GM0072,WK007200,1,2,0.8703
GM0072,WK007200,2,0,0.8684
GM0072,WK007200,2,1,0.9081
GM0072,WK007200,2,2,0.9081
GM0072,WK007200,3,0,0.8443
GM0072,WK007200,3,1,0.8991
GM0072,WK007200,3,2,0.8704
GM0072,WK007200,4,0,0.9627
GM0072,WK007200,4,1,0.9310
GM0072,WK007200,4,2,0.9346
GM0072,WK007200,5,0,1.1204
GM0072,WK007200,5,1,0.9076
GM0072,WK007200,5,2,1.0043
GM0072,WK007200,6,0,0.9534
GM0072,WK007200,6,1,0.9534
GM0072,WK007200,6,2,0.9534
GM0072,WK007201,1,0,0.8476
GM0072,WK007201,2,0,0.8856
GM0072,WK007201,2,1,0.9141
GM0072,WK007201,3,0,0.9398
GM0072,WK007201,4,0,0.9398
GM0072,WK007201,5,0,0.9398
