gem2020;wijk2020;buurt2020;woningtype;verschilfactor
GM0014;WK001409;BU00140906;4;1.09873117
GM0014;WK001409;BU00140906;5;1.129406096
GM0014;WK001409;BU00140906;6;1.336106079
GM0014;WK001409;BU00140907;5;1.053149705
GM0014;WK001410;BU00141000;1;0.989300353
GM0014;WK001410;BU00141000;3;0.99465039
GM0014;WK001410;BU00141000;4;0.970538047
GM0014;WK001410;BU00141000;5;0.946719039
GM0014;WK001410;BU00141000;6;1.109054013
GM0014;WK001410;BU00141001;1;0.978246731
GM0014;WK001410;BU00141001;2;0.978246731
GM0014;WK001410;BU00141001;3;0.893833566
GM0014;WK001410;BU00141001;4;0.953349915
GM0014;WK001410;BU00141001;5;0.999397388
GM0014;WK001410;BU00141001;6;1.032732088
GM0014;WK001410;BU00141002;1;0.994278656
GM0014;WK001410;BU00141002;2;0.994278656
GM0014;WK001410;BU00141002;3;0.944714653
GM0014;WK001410;BU00141002;4;0.917089174
GM0014;WK001410;BU00141002;5;1.140541627
GM0014;WK001410;BU00141002;6;1.03799063
GM0014;WK001410;BU00141004;1;0.991540365
GM0014;WK001410;BU00141005;1;1.012576157
GM0014;WK001410;BU00141005;2;1.012576157
GM0014;WK001410;BU00141005;3;1.012576157
GM0014;WK001410;BU00141005;4;1.116675349
GM0014;WK001410;BU00141005;5;0.986032158
GM0014;WK001411;BU00141100;1;1.045596098
GM0014;WK001411;BU00141100;2;1.045596098
GM0014;WK001411;BU00141100;3;1.029351626
GM0014;WK001411;BU00141100;4;1.042635216
GM0014;WK001411;BU00141100;5;1.06020256
GM0014;WK001411;BU00141100;6;1.045596098
GM0014;WK001411;BU00141101;1;1.071469105
GM0014;WK001411;BU00141101;2;1.071469105
GM0014;WK001411;BU00141101;3;1.066749748
GM0014;WK001411;BU00141101;4;1.105458676
GM0014;WK001411;BU00141101;5;1.045011212
GM0014;WK001411;BU00141101;6;1.024571482
GM0014;WK001411;BU00141102;1;1.108042863
GM0014;WK001411;BU00141102;2;1.149693333
GM0014;WK001411;BU00141102;3;1.076619304
GM0014;WK001411;BU00141102;4;1.109681898
GM0014;WK001411;BU00141102;5;1.108042863
GM0014;WK001411;BU00141103;1;1.136863731
GM0014;WK001411;BU00141103;2;1.136863731
GM0014;WK001411;BU00141103;3;1.136863731
GM0014;WK001411;BU00141103;4;1.129297186
GM0014;WK001411;BU00141104;1;0.921832701
GM0014;WK001411;BU00141104;2;0.921832701
GM0014;WK001411;BU00141104;3;0.921832701
GM0014;WK001411;BU00141104;4;0.921832701
